retriever,model,top_k,EM,hit@k,precision@k,recall@k,mrr,map@k
embedding,baseline_paraphrase_miniLM,1,0.5063291139240507,0.5063291139240507,0.5063291139240507,0.5063291139240507,0.5063291139240507,0.5063291139240507
embedding,baseline_paraphrase_miniLM,3,,0.6962025316455697,0.23206751054852323,0.6962025316455697,0.5907172995780592,0.5907172995780592
embedding,baseline_paraphrase_miniLM,5,,0.7721518987341772,0.1544303797468353,0.7721518987341772,0.6071729957805908,0.6071729957805908
embedding,baseline_paraphrase_miniLM,10,,0.8607594936708861,0.0860759493670885,0.8607594936708861,0.6178772352822987,0.6178772352822987
embedding,fine_tuned_paraphrase_miniLM,1,0.46835443037974683,0.46835443037974683,0.46835443037974683,0.46835443037974683,0.46835443037974683,0.46835443037974683
embedding,fine_tuned_paraphrase_miniLM,3,,0.6708860759493671,0.22362869198312244,0.6708860759493671,0.5654008438818566,0.5654008438818566
embedding,fine_tuned_paraphrase_miniLM,5,,0.7974683544303798,0.1594936708860758,0.7974683544303798,0.5938818565400844,0.5938818565400844
embedding,fine_tuned_paraphrase_miniLM,10,,0.8860759493670886,0.08860759493670875,0.8860759493670886,0.6051285915209966,0.6051285915209966
tfidf,tfidf,1,0.7974683544303798,0.7974683544303798,0.7974683544303798,0.7974683544303798,0.7974683544303798,0.7974683544303798
tfidf,tfidf,3,,0.9367088607594937,0.31223628691983096,0.9367088607594937,0.8649789029535866,0.8649789029535866
tfidf,tfidf,5,,0.9493670886075949,0.18987341772151872,0.9493670886075949,0.8675105485232067,0.8675105485232067
tfidf,tfidf,10,,0.9873417721518988,0.09873417721518972,0.9873417721518988,0.8730108499095841,0.8730108499095841
bm25,bm25,1,0.759493670886076,0.759493670886076,0.759493670886076,0.759493670886076,0.759493670886076,0.759493670886076
bm25,bm25,3,,0.9113924050632911,0.30379746835443017,0.9113924050632911,0.8248945147679325,0.8248945147679325
bm25,bm25,5,,0.9493670886075949,0.18987341772151872,0.9493670886075949,0.8337552742616035,0.8337552742616035
bm25,bm25,10,,0.9873417721518988,0.09873417721518972,0.9873417721518988,0.8397830018083184,0.8397830018083184
